comment_id,thread_id,video_id,comment_text,cleaned_text,author,author_channel_id,likes,is_reply,published_at,published_date,published_time,char_count,word_count,sentence_count,exclamation_count,question_count,caps_ratio,emoji_count,avg_word_length,sentiment_label,sentiment_score,emotion_primary,emotion_secondary,confidence,notes,is_sarcastic,is_spam,is_off_topic,language_other
UgxvBFyHxn7OcfjYfWp4AaABAg,UgxvBFyHxn7OcfjYfWp4AaABAg,habpdmFSTOo,She breathes and its iconic- every interview she has is legendary,She breathes and its iconic- every interview she has is legendary,@Benleyy,UCML5kYXBF1slu8udkGh98vg,379,0,2020-12-31T04:56:41Z,2020-12-31,04:56:41,65,11,1,0,0,0.015,0,5.91,positive,2,,,5,,,,,
UgxvBFyHxn7OcfjYfWp4AaABAg.9HvH3sdP_TH9I4LeY482mU,UgxvBFyHxn7OcfjYfWp4AaABAg,habpdmFSTOo,Periodo,Periodo,@honestlygab_,UCPqOO43WF0W4QJzNHFr5enA,4,1,2021-01-04T02:49:11Z,2021-01-04,02:49:11,7,1,1,0,0,0.143,0,7.0,,,,,,,,,,
UgxvBFyHxn7OcfjYfWp4AaABAg.9HvH3sdP_TH9I6L4cm2ZGE,UgxvBFyHxn7OcfjYfWp4AaABAg,habpdmFSTOo,#GagaIsTheTruth,#GagaIsTheTruth,@samwalker3165,UCO7rhMbbFTVuuVjqeajmMMA,3,1,2021-01-04T21:22:37Z,2021-01-04,21:22:37,15,1,1,0,0,0.267,0,15.0,,,,,,,,,,
UgxvBFyHxn7OcfjYfWp4AaABAg.9HvH3sdP_THAAnbPFg5wau,UgxvBFyHxn7OcfjYfWp4AaABAg,habpdmFSTOo,That’s a man,That’s a man,@soukainalaoui,UCm0zTymPwIvnBZizQLIjJXA,0,1,2024-11-13T23:18:39Z,2024-11-13,23:18:39,12,3,1,0,0,0.083,0,4.0,,,,,,,,,,
Ugzfp3AbD-nqo1uOWRB4AaABAg,Ugzfp3AbD-nqo1uOWRB4AaABAg,habpdmFSTOo,Lady gaga in a purple bow wig calmly and precisely bringing down toxic masculinity will always be iconic,Lady gaga in a purple bow wig calmly and precisely bringing down toxic masculinity will always be iconic,@Gayberry420,UCrwi-SgEQxEbaSACfKKHL6w,250,0,2021-11-23T07:44:34Z,2021-11-23,07:44:34,104,18,1,0,0,0.01,0,5.78,,,,,,,,,,
Ugzfp3AbD-nqo1uOWRB4AaABAg.9V4_DcJlDD19uD7TN3cp9G,Ugzfp3AbD-nqo1uOWRB4AaABAg,habpdmFSTOo,She didnt bring anything down.,She didnt bring anything down.,@SamWinchesterr,UCCxqBQlA5g7vkAeqASlgbxg,4,1,2023-09-03T21:02:44Z,2023-09-03,21:02:44,30,5,1,0,0,0.033,0,6.0,,,,,,,,,,
Ugzfp3AbD-nqo1uOWRB4AaABAg.9V4_DcJlDD19xz7fuqj3xo,Ugzfp3AbD-nqo1uOWRB4AaABAg,habpdmFSTOo,"This guy didn’t have the wherewithal to deal with her in this mode. Either way, sex sells. She knows the formula, yet tries to play it off as enlightenment. And gays know this more than anyone. Just watch a Mardi Gras in process. So it’s not exactly how she says. If her music videos were more like Little house on the prairie… gays would have sat there and dealt with it. Not enthused, but  still confused.. Yet when the sexual provocation was added, that’s when the lights and the attention and adoration came on.","This guy didn’t have the wherewithal to deal with her in this mode. Either way, sex sells. She knows the formula, yet tries to play it off as enlightenment. And gays know this more than anyone. Just watch a Mardi Gras in process. So it’s not exactly how she says. If her music videos were more like Little house on the prairie… gays would have sat there and dealt with it. Not enthused, but still confused.. Yet when the sexual provocation was added, that’s when the lights and the attention and adoration came on.",@mrgordy1980,UCA08RhTWc1DVaWpGmHfCv8A,1,1,2023-12-06T11:21:33Z,2023-12-06,11:21:33,514,94,9,0,0,0.023,0,5.47,,,,,,,,,,
Ugzfp3AbD-nqo1uOWRB4AaABAg.9V4_DcJlDD1A2ltwOnb2zh,Ugzfp3AbD-nqo1uOWRB4AaABAg,habpdmFSTOo,"@@moe3691You’re making it seem like he’s trying to preach masculinity or start a fight. He’s an interviewer, he’s doing his job. She’s the one that gets the last word cause she’s the one being interviewed and you’re the 1 who gets to twist it because you’re an obsessive fan","@@moe3691You’re making it seem like he’s trying to preach masculinity or start a fight. He’s an interviewer, he’s doing his job. She’s the one that gets the last word cause she’s the one being interviewed and you’re the 1 who gets to twist it because you’re an obsessive fan",@Chasing_santino,UCmVTxJB_ST4Ot0Qrjm_mLXA,2,1,2024-04-28T11:10:58Z,2024-04-28,11:10:58,274,49,2,0,0,0.011,0,5.59,,,,,,,,,,
Ugzfp3AbD-nqo1uOWRB4AaABAg.9V4_DcJlDD1AELQNwmFiu9,Ugzfp3AbD-nqo1uOWRB4AaABAg,habpdmFSTOo,"Toxic masculinity 😅😅😅😅 fak you, you pathetic woke whatever you are.
Even tho I completely disagree with Gaga this was one of the most badazz and iconic responses EVER.","Toxic masculinity 😅😅😅😅 fak you, you pathetic woke whatever you are. Even tho I completely disagree with Gaga this was one of the most badazz and iconic responses EVER.",@regnorum,UC2OlQRhzzej12tirCSsISkw,0,1,2025-02-10T01:21:13Z,2025-02-10,01:21:13,167,29,2,0,0,0.048,0,5.76,,,,,,,,,,
Ugzfp3AbD-nqo1uOWRB4AaABAg.9V4_DcJlDD1AG0Fr2TOu4T,Ugzfp3AbD-nqo1uOWRB4AaABAg,habpdmFSTOo,@@SamWinchesterrSHE is doing,@@SamWinchesterrSHE is doing,@CarrieRoblesMartínez,UC3LDQsvXRpcqWfstGezJaxw,0,1,2025-03-23T13:07:56Z,2025-03-23,13:07:56,28,3,1,0,0,0.179,0,9.33,,,,,,,,,,
